CMT_Corner_ID,Street_Name1,Street_Name2,Borough,Community_District,Block,Lot,Complaint_ID,Complaint_Date,Temp_Repair_Feasible,Temp_Repair_Date,Temp_Repair_Type,Second_Temp_Repair_Needed,Date_Second_Temp_Repair,BulkComplaint
1084822,BROADWAY,BROOME STREET,MANHATTAN,102,473,14,311-22061003,02/25/2025,No,,,No,,Yes
1033872,BROADWAY,THORNTON STREET,BROOKLYN,301,2276,16,311-22211458,03/11/2025,No,,,No,,No
1085527,BROADWAY,HOWARD STREET,MANHATTAN,102,209,5,311-22061003,02/25/2025,No,,,No,,Yes
1085002,BROADWAY,EAST HOUSTON STREET,MANHATTAN,102,512,7502,311-22061003,02/25/2025,No,,,No,,Yes
1085524,BROADWAY,HOWARD STREET,MANHATTAN,102,231,8,311-22061003,02/25/2025,No,,,No,,Yes
1084820,BROADWAY,BROOME STREET,MANHATTAN,102,474,29,311-22061003,02/25/2025,No,,,No,,Yes
1000496,BROADWAY,CATHERINE LANE,MANHATTAN,101,170,6,1-1-1707519431,04/13/2019,No,,,No,,
1091154,BROADWAY,WEST 87 STREET,MANHATTAN,107,1235,42,311-22115589,03/03/2025,Yes,03/25/2025,Other,No,,No
1087020,THOMAS STREET,WEST BROADWAY,MANHATTAN,101,147,7501,311-00273971,07/31/2019,No,,,No,,
1085131,BROADWAY,WASHINGTON PLACE,MANHATTAN,102,545,8,311-22143598,03/05/2025,Pending Determination,,,No,,No
1085525,BROADWAY,HOWARD STREET,MANHATTAN,102,231,14,311-22061003,02/25/2025,No,,,No,,Yes
1085614,BROADWAY,CANAL STREET,MANHATTAN,101,231,12,311-22061003,02/25/2025,No,,,No,,Yes
1084945,BROADWAY,PRINCE STREET,MANHATTAN,102,498,5,311-22061003,02/25/2025,No,,,No,,Yes
1085615,BROADWAY,CANAL STREET,MANHATTAN,101,209,1,311-22061003,02/25/2025,No,,,No,,Yes
1085500,BROADWAY,GRAND STREET,MANHATTAN,102,231,30,311-21921413,02/13/2025,Yes,03/06/2025,Other,No,,No
1085502,BROADWAY,GRAND STREET,MANHATTAN,102,473,1,311-22061003,02/25/2025,No,,,No,,Yes
1084947,BROADWAY,PRINCE STREET,MANHATTAN,102,511,1,311-22061003,02/25/2025,No,,,No,,Yes
1085004,BROADWAY,EAST HOUSTON STREET,MANHATTAN,102,511,19,311-22061003,02/25/2025,No,,,No,,Yes
1084821,BROADWAY,BROOME STREET,MANHATTAN,102,484,28,311-22061003,02/25/2025,No,,,No,,Yes
1033874,BROADWAY,DEBEVOISE STREET,BROOKLYN,301,3119,1,311-22211458,03/11/2025,No,,,No,,No
1085130,BROADWAY,WASHINGTON PLACE,MANHATTAN,102,545,11,311-22143598,03/05/2025,Pending Determination,,,No,,No
1198490,BROADWAY,EXCHANGE ALLEY,MANHATTAN,101,23,7,311-21888508,02/10/2025,Yes,03/05/2025,Other,No,,No
1084797,BROADWAY,SPRING STREET,MANHATTAN,102,498,23,311-22061003,02/25/2025,No,,,No,,Yes
1085526,BROADWAY,HOWARD STREET,MANHATTAN,102,232,1,311-22061003,02/25/2025,No,,,No,,Yes
1091076,BROADWAY,WEST 92 STREET,MANHATTAN,107,1239,44,311-22058054,02/25/2025,Yes,03/14/2025,Other,No,,No
1084796,BROADWAY,SPRING STREET,MANHATTAN,102,484,9,311-22061003,02/25/2025,No,,,No,,Yes
1085503,BROADWAY,GRAND STREET,MANHATTAN,102,232,12,311-22061003,02/25/2025,No,,,No,,Yes
1085003,BROADWAY,EAST HOUSTON STREET,MANHATTAN,102,523,48,311-22061003,02/25/2025,No,,,No,,Yes
1087111,PARK PLACE,WEST BROADWAY,MANHATTAN,101,125,20,311-22207368,03/11/2025,Yes,03/25/2025,Other,No,,No
1085005,BROADWAY,EAST HOUSTON STREET,MANHATTAN,102,522,1,311-22061003,02/25/2025,No,,,No,,Yes
1084823,BROADWAY,BROOME STREET,MANHATTAN,102,483,1,311-22061003,02/25/2025,No,,,No,,Yes
1084799,BROADWAY,SPRING STREET,MANHATTAN,102,483,17,311-22061003,02/25/2025,No,,,No,,Yes
1084946,BROADWAY,PRINCE STREET,MANHATTAN,102,497,18,311-22061003,02/25/2025,No,,,No,,Yes
1033873,BROADWAY,DEBEVOISE STREET,BROOKLYN,301,3126,6,311-22211458,03/11/2025,No,,,No,,No
1084798,BROADWAY,SPRING STREET,MANHATTAN,102,497,1,311-22061003,02/25/2025,No,,,No,,Yes
1085501,BROADWAY,GRAND STREET,MANHATTAN,102,474,7506,311-22061003,02/25/2025,No,,,No,,Yes
1084939,PRINCE STREET,WEST BROADWAY,MANHATTAN,102,515,45,311-00772137,10/01/2019,No,,,No,,
1091508,BROADWAY,WEST 73 STREET,MANHATTAN,107,1165,7503,DOT-693767-W9M5,04/25/2025,No,,,No,,No
1091551,BROADWAY,WEST 72 STREET,MANHATTAN,107,1163,7503,311-22632829,04/19/2025,Yes,04/28/2025,Other,No,,No
1092641,BROADWAY,WEST 112 STREET,MANHATTAN,109,1895,16,311-22526964,04/09/2025,Yes,04/22/2025,Other,No,,No
1092187,BROADWAY,WEST 145 STREET,MANHATTAN,109,2092,26,311-00224654,07/25/2019,No,,,No,,
1089058,BROADWAY,WEST 50 STREET,MANHATTAN,105,1021,45,311-22450980,04/02/2025,Yes,04/28/2025,Other,No,,No
1091580,BROADWAY,WEST 69 STREET,MANHATTAN,107,1141,13,311-22439371,04/01/2025,Yes,04/11/2025,Other,No,,No
1056969,65 STREET,BROADWAY,QUEENS,402,1202,1,311-22532997,04/10/2025,Yes,04/17/2025,Other,No,,No
1033875,BROADWAY,THORNTON STREET,BROOKLYN,301,2275,11,311-22211458,03/11/2025,Yes,04/14/2025,Other,No,,No
1095612,BROADWAY,WEST 183 STREET,MANHATTAN,112,2164,16,DOT-430138-Q3J0,08/30/2019,No,,,No,,
1091170,BROADWAY,WEST 90 STREET,MANHATTAN,107,1237,7502,311-22730187,04/28/2025,Yes,05/19/2025,Other,No,,No
1091559,BROADWAY,WEST 71 STREET,MANHATTAN,107,1163,30,DOT-698271-P2P1,05/27/2025,No,,,No,,
1087343,BROADWAY,WALL STREET,MANHATTAN,101,49,1,311-21823592,02/04/2025,No,,,No,,No
1090899,BROADWAY,WEST 109 STREET,MANHATTAN,107,1880,61,311-22832865,05/07/2025,Yes,05/19/2025,Other,No,,No
1010982,BROADWAY,WEST 231 STREET,BRONX,208,3267,81,311-22099608,03/01/2025,Yes,03/31/2025,Other,No,,No
1087888,BEND,BROADWAY,MANHATTAN,101,20,1,DOT Internal,06/05/2025,No,,,No,,No
1000502,BROADWAY,THAMES STREET,MANHATTAN,101,49,2,311-22820740,05/06/2025,No,,,No,,No
1091080,BROADWAY,WEST 93 STREET,MANHATTAN,107,1241,20,311-23156932,06/04/2025,Yes,,,No,,No
1090915,BROADWAY,WEST 106 STREET,MANHATTAN,107,1878,1,DOT-390785-J8G1,,,,,No,,
1091559,BROADWAY,WEST 71 STREET,MANHATTAN,107,1163,30,SR# 1-1-1662766811,,,,,No,,
1111325,BROADWAY,LAWTON STREET,BROOKLYN,304,3229,50,1-1-1723187651,06/17/2019,Yes,07/09/2019,Other,No,,
1111269,BELVIDERE STREET,BROADWAY,BROOKLYN,304,3135,1,1-1-1722410151,06/03/2019,Yes,06/24/2019,Other,No,,
1087451,BROADWAY,LEONARD STREET,MANHATTAN,101,170,6,1-1-1707519431,04/09/2019,Yes,04/23/2019,Other,No,,
1025217,BROADWAY,WHITNEY AVENUE,QUEENS,404,1536,85,311-00307216,08/05/2019,Yes,09/06/2019,Other,No,,
1026268,BAXTER AVENUE,BROADWAY,QUEENS,404,1500,2,DOT-443521-X8F3,12/13/2019,Yes,01/13/2020,Other,No,,
1027977,BROADWAY,GRAND AVENUE,QUEENS,404,2851,22,DOT-432038-N3G0,09/25/2019,Yes,10/23/2019,Other,No,,
1091632,BROADWAY,WEST 66 STREET,MANHATTAN,107,1138,7501,311-01298066,12/04/2019,Yes,01/09/2020,Other,No,,
1089478,BROADWAY,EAST 20 STREET,MANHATTAN,105,848,68,311-01054731,11/04/2019,Yes,11/26/2019,Other,No,,
1033858,BROADWAY,MARCUS GARVEY BOULEVARD,BROOKLYN,303,3130,1,1-1-1723197731,06/03/2019,Yes,06/26/2019,Other,No,,
1088353,BROADWAY,WEST 60 STREET,MANHATTAN,107,1113,18,DOT-435517-V4M9,10/28/2019,Yes,11/01/2019,Other,No,,
1089014,BROADWAY,WEST 52 STREET,MANHATTAN,105,1023,18,DOT Internal,05/21/2019,Yes,06/04/2019,Other,No,,
1089069,BROADWAY,WEST 48 STREET,MANHATTAN,105,1019,7501,1-1-1718156071,04/06/2019,Yes,04/23/2019,Other,No,,
1010988,BROADWAY,WEST 232 STREET,BRONX,208,5754,84,311-00658045,09/17/2019,Yes,09/23/2019,Other,No,,
1085176,BROADWAY,EAST 9 STREET,MANHATTAN,102,554,1,311-01274037,12/01/2019,Yes,01/09/2020,Other,No,,
1218447,BROADWAY,DITMARS STREET,BROOKLYN,303,3194,9,1-1-1723187781,06/03/2019,Yes,06/26/2019,Other,No,,
1091560,BROADWAY,WEST 71 STREET,MANHATTAN,107,1143,1,311-00722743,09/25/2019,Yes,10/24/2019,Other,No,,
1096267,BROADWAY,FT WASHINGTON AVENUE,MANHATTAN,112,2137,1,311-00857904,10/12/2019,Yes,10/24/2019,Other,No,,
1091269,BROADWAY,WEST 83 STREET,MANHATTAN,107,1230,43,311-00671727,09/19/2019,Yes,10/18/2019,Other,No,,
1105163,BROADWAY,HAVEMEYER STREET,BROOKLYN,301,2460,1,311-00780306,10/02/2019,Yes,11/01/2019,Other,No,,
1082620,BROADWAY,DONGAN AVENUE,QUEENS,404,1544,36,DOT-433343-H6S5,09/23/2019,No,,,No,,
1025336,BROADWAY,DONGAN AVENUE,QUEENS,404,1581,1,DOT-433343-H6S5,09/23/2019,No,,,No,,
1171276,BROADWAY,WEST 115 STREET,MANHATTAN,109,1896,7501,311-00177265,07/20/2019,No,,,No,,
1096090,BROADWAY,WEST 181 STREET,MANHATTAN,112,2176,133,DOT-430144-W8T3,08/30/2019,No,,,No,,
1096132,BROADWAY,WEST 182 STREET,MANHATTAN,112,2164,16,DOT-430134-V9Z8,08/30/2019,No,,,No,,
1173429,BROADWAY,LEXINGTON AVENUE,BROOKLYN,304,3293,29,DOT-447871-K3V4,01/06/2020,No,,,No,,
1087084,MURRAY STREET,WEST BROADWAY,MANHATTAN,101,126,13,DOT-410064-L8N1,04/02/2019,No,,,No,,
1087111,PARK PLACE,WEST BROADWAY,MANHATTAN,101,125,20,1-1-1735707131,06/14/2019,No,,,No,,
1087455,BROADWAY,FRANKLIN STREET,MANHATTAN,101,171,7,1-1-1717190820,05/09/2019,Yes,05/30/2019,Asphalt Ramp,No,,
1038817,14 STREET,BROADWAY,QUEENS,401,531,17,311-19712254,08/15/2024,Yes,09/19/2024,Other,No,,No
1105762,BROADWAY,KEAP STREET,BROOKLYN,301,2152,17,311-06019562,04/20/2021,Yes,06/02/2021,Other,No,,No
1027978,BROADWAY,GRAND AVENUE,QUEENS,404,2477,15,311-19649661,08/10/2024,Yes,08/16/2024,Other,No,,No
1105883,BROADWAY,WHIPPLE STREET,BROOKLYN,301,2275,11,311-15400460,08/03/2023,Yes,08/18/2023,Other,No,,No
1087016,DUANE STREET,WEST BROADWAY,MANHATTAN,101,146,7502,311-10399423,05/23/2022,No,,,No,,No
1092186,BROADWAY,WEST 145 STREET,MANHATTAN,109,2091,36,DOT-682138-J1N7,01/24/2025,No,,,No,,No
1091638,BROADWAY,WEST 65 STREET,MANHATTAN,107,1134,1,311-08081738,10/20/2021,No,,,No,,No
1092770,BROADWAY,WEST 137 STREET,MANHATTAN,109,2002,50,311-06180838,05/06/2021,Yes,06/12/2021,Other,No,,Yes
1095664,BROADWAY,WEST 178 STREET,MANHATTAN,112,2176,17,311-15392221,08/02/2023,Yes,08/22/2023,Other,No,,No
1092757,BROADWAY,WEST 135 STREET,MANHATTAN,109,2001,5,311-06180838,05/06/2021,Yes,06/12/2021,Other,No,,Yes
1091497,BROADWAY,WEST 75 STREET,MANHATTAN,107,1167,7501,DOT-450282-N0Z6,02/05/2020,Yes,03/20/2020,Other,No,,No
1092769,BROADWAY,WEST 137 STREET,MANHATTAN,109,2086,29,311-02758677,06/13/2020,Yes,07/21/2020,Other,Yes,08/04/2021,No
1105164,BROADWAY,HAVEMEYER STREET,BROOKLYN,301,2141,1,311-21317719,12/27/2024,Yes,01/13/2025,Other,No,,No
1096421,BROADWAY,THAYER STREET,MANHATTAN,112,2175,45,DOT Internal,01/03/2022,No,,,No,,No
1088354,BROADWAY,WEST 60 STREET,MANHATTAN,107,1113,7502,311-14819094,06/14/2023,No,,,No,,No
1089320,BROADWAY,WEST 27 STREET,MANHATTAN,105,828,41,DOT-659032-F1B1,07/24/2024,No,,,No,,No
1092379,BROADWAY,WEST 131 STREET,MANHATTAN,109,1984,1,311-14166508,04/17/2023,Yes,04/28/2023,Other,No,,No
1087452,BROADWAY,FRANKLIN STREET,MANHATTAN,101,174,7505,311-11914156,09/27/2022,Yes,10/24/2022,Asphalt Ramp,No,,No
1087440,BROADWAY,THOMAS STREET,MANHATTAN,101,151,28,311-12090610,10/12/2022,No,,,No,,No
1095762,BROADWAY,WEST 166 STREET,MANHATTAN,112,2124,65,DOT-561446-B6T7,08/18/2022,Yes,12/02/2022,Asphalt Ramp,No,,Yes
1095663,BROADWAY,WEST 178 STREET,MANHATTAN,112,2176,70,311-21113410,12/10/2024,Yes,01/15/2025,Other,No,,No
1010910,BROADWAY,KIMBERLY PLACE,BRONX,208,5700,95,311-20434405,10/15/2024,Yes,10/18/2024,Other,No,,No
1088355,BROADWAY,WEST 60 STREET,MANHATTAN,107,1113,7502,DOT-483446-D1D2,11/30/2020,No,,,No,,No
1087108,PARK PLACE,WEST BROADWAY,MANHATTAN,101,127,1,311-06657820,06/19/2021,No,,,No,,No
1095972,ACADEMY STREET,BROADWAY,MANHATTAN,112,2238,42,311-06332906,05/21/2021,Yes,06/17/2021,Other,No,,No
1105875,BARTLETT STREET,BROADWAY,BROOKLYN,301,2273,6,DOT-636002-Y0Z2,02/13/2024,Yes,03/18/2024,Other,No,,No
1089405,BROADWAY,EAST 23 STREET,MANHATTAN,105,851,7501,DOT-491071-P7N7,02/09/2021,Yes,03/17/2021,Other,No,,No
1087888,BEND,BROADWAY,MANHATTAN,101,20,1,311-18092716,03/29/2024,Yes,04/16/2024,Other,No,,No
1091179,BROADWAY,WEST 91 STREET,MANHATTAN,107,1238,46,311-18749450,05/28/2024,Yes,06/12/2024,Other,No,,No
1113701,BROADWAY,CONWAY STREET,BROOKLYN,316,3474,1,DOT-442826-K7B3,12/12/2019,No,,,No,,No
1087133,ANN STREET,BROADWAY,MANHATTAN,101,90,1,311-17797215,03/01/2024,Yes,04/10/2024,Other,No,,No
1091178,BROADWAY,WEST 91 STREET,MANHATTAN,107,1239,23,311-15280357,07/24/2023,No,,,No,,No
1091284,BROADWAY,WEST 80 STREET,MANHATTAN,107,1227,54,311-09817987,03/30/2022,Yes,04/28/2022,Other,No,,No
1087317,BROADWAY,LIBERTY STREET,MANHATTAN,101,64,12,311-16333061,10/24/2023,Yes,11/21/2023,Other,No,,No
1095934,BROADWAY,ISHAM STREET,MANHATTAN,112,2242,51,DOT-475223-Y7N9,09/25/2020,No,,,No,,No
1087102,BROADWAY,READE STREET,MANHATTAN,101,150,38,311-10442770,05/27/2022,Yes,07/08/2022,Other,No,,No
