CMT_Corner_ID,Street_Name1,Street_Name2,Borough,Community_District,Block,Lot,Complaint_ID,Complaint_Date,Temp_Repair_Feasible,Temp_Repair_Date,Temp_Repair_Type,Second_Temp_Repair_Needed,Date_Second_Temp_Repair,BulkComplaint
1140068,CATON AVENUE,OCEAN PARKWAY,BROOKLYN,307,5319,24,DOT-689629-W6W6,03/26/2025,No,,,No,,No
1090385,3 AVENUE,EAST 31 STREET,MANHATTAN,106,912,1,1-1-1722172971,06/05/2019,Yes,06/26/2019,Other,No,,
1118763,EAST NEW YORK AVENUE,TROY AVENUE,BROOKLYN,309,1429,2,311-21577315,01/14/2025,Yes,03/05/2025,Other,No,,No
1007336,CLAY AVENUE,EAST 167 STREET,BRONX,204,2426,12,DOT-687881-G3V8,03/13/2025,No,,,No,,No
1126047,CORTELYOU ROAD,EAST 21 STREET,BROOKLYN,314,5152,20,311-21820968,02/04/2025,Yes,02/28/2025,Other,No,,No
1029246,58 AVENUE,76 STREET,QUEENS,405,2823,2,DOT-424661-R3K3,07/23/2019,Yes,08/21/2019,Other,No,,
1109209,HENRY STREET,VERANDAH PLACE,BROOKLYN,306,301,4,DOT-687399-K8P0,03/10/2025,Pending Determination,,,No,,No
1089525,5 AVENUE,EAST 16 STREET,MANHATTAN,105,844,1,311-20006108,09/10/2024,Yes,03/04/2025,Other,No,,No
1084822,BROADWAY,BROOME STREET,MANHATTAN,102,473,14,311-22061003,02/25/2025,No,,,No,,Yes
1033872,BROADWAY,THORNTON STREET,BROOKLYN,301,2276,16,311-22211458,03/11/2025,No,,,No,,No
1087607,FDR DRIVE EXIT 2 NORTHBOUND,DOVER STREET,MANHATTAN,101,106,22,DOT-440784-W2N3,11/21/2019,Yes,01/02/2020,Other,No,,
1148337,ROSE AVENUE,1 STREET,STATEN ISLAND,502,4190,15,311-20995070,11/30/2024,Yes,02/28/2025,Other,No,,No
1085527,BROADWAY,HOWARD STREET,MANHATTAN,102,209,5,311-22061003,02/25/2025,No,,,No,,Yes
1085002,BROADWAY,EAST HOUSTON STREET,MANHATTAN,102,512,7502,311-22061003,02/25/2025,No,,,No,,Yes
1126801,AVENUE I,EAST 27 STREET,BROOKLYN,314,7573,8,DOT-398440-V2C4,04/29/2019,No,,,No,,
1130710,AVENUE O,EAST 15 STREET,BROOKLYN,314,6762,1,DOT-689162-Q3B2,03/23/2025,No,,,No,,No
1058658,17 AVENUE,163 STREET,QUEENS,407,4758,10,DOT-414499-Z4J6,05/21/2019,No,,,No,,
1058659,17 AVENUE,163 STREET,QUEENS,407,4758,10,DOT-414499-Z4J6,05/21/2019,No,,,No,,
1087203,PARK PLACE WEST,RIVER TERRACE,MANHATTAN,101,16,180,1-1-1711995621,04/23/2019,No,,,No,,
1090355,EAST 36 STREET,FRANKLIN D ROOSEVELT DRIVE,MANHATTAN,106,967,1,DOT-436416-H6J2,10/28/2019,No,,,No,,
1148335,ROSE AVENUE,1 STREET,STATEN ISLAND,502,4193,1,311-20995070,11/30/2024,Yes,02/28/2025,Other,No,,No
1135385,AVENUE P,DAHILL ROAD,BROOKLYN,311,6632,1,311-21958399,02/17/2025,Yes,02/28/2025,Other,No,,No
1085524,BROADWAY,HOWARD STREET,MANHATTAN,102,231,8,311-22061003,02/25/2025,No,,,No,,Yes
1084820,BROADWAY,BROOME STREET,MANHATTAN,102,474,29,311-22061003,02/25/2025,No,,,No,,Yes
1138698,4 AVENUE,91 STREET,BROOKLYN,310,6086,43,DOT-689361-Q3K7,03/24/2025,Pending Determination,,,No,,No
1005656,INTERVALE AVENUE,SOUTHERN BOULEVARD,BRONX,202,2732,12,DOT-406481-Y4J6,06/14/2019,No,,,No,,
1087112,CHURCH STREET,PARK PLACE,MANHATTAN,101,125,20,311-22076441,02/27/2025,Yes,03/25/2025,Other,No,,No
1039144,9 STREET,35 AVENUE,QUEENS,401,328,23,DOT-435065-Z9V1,10/08/2019,No,,,No,,
1039145,9 STREET,35 AVENUE,QUEENS,401,323,1,DOT-435065-Z9V1,10/08/2019,No,,,No,,
1039146,9 STREET,35 AVENUE,QUEENS,401,324,1,DOT-435065-Z9V1,10/08/2019,No,,,No,,
1039147,9 STREET,35 AVENUE,QUEENS,401,329,18,DOT-435065-Z9V1,10/08/2019,No,,,No,,
1063011,61 STREET,LONG ISLAND RAILROAD,QUEENS,405,3590,20,DOT-412264-S6D0,06/24/2019,No,,,No,,
1063013,61 STREET,LONG ISLAND RAILROAD,QUEENS,405,3592,1,DOT-412264-S6D0,06/24/2019,No,,,No,,
1067716,73 AVENUE,FRANCIS LEWIS BOULEVARD,QUEENS,408,7723,10,DOT-412198-J3R4,07/24/2019,No,,,No,,
1067717,73 AVENUE,FRANCIS LEWIS BOULEVARD,QUEENS,408,7722,1,DOT-412198-J3R4,07/24/2019,No,,,No,,
1087667,CLIFF STREET,FULTON STREET,MANHATTAN,101,75,48,311-14959642,06/26/2023,No,,Other,No,,No
1000496,BROADWAY,CATHERINE LANE,MANHATTAN,101,170,6,1-1-1707519431,04/13/2019,No,,,No,,
1026719,59 AVENUE,JUNCTION BOULEVARD,QUEENS,404,1912,7501,DOT-436063-X6S3,10/16/2019,No,,,No,,
1037712,11 STREET,48 AVENUE,QUEENS,402,60,9,DOT-685859-L2R1,02/27/2025,No,,,No,,No
